Ano,Cresc Pib em %,Inflação em %,Desemprego em %
2003,4.72,2.81,9.76
2004,6.67,1.05,10.16
2005,5.84,3.05,9.34
2006,6.05,3.39,9.02
2007,5.17,4.41,8.43
2008,3.79,8.72,9.28
2009,-1.12,0.35,11.31
2010,5.85,1.41,8.28
2011,6.22,3.34,7.28
