Ano,Cresc Pib em %,Inflação em %,Desemprego em %
2003,2.88,7.93,5.66
2004,6.83,2.74,5.0
2005,5.4,2.17,3.78
2006,4.34,3.3,3.55
2007,1.9,2.28,3.14
2008,6.56,8.4,3.92
2009,1.09,5.16,4.61
2010,4.03,3.55,4.09
2011,8.48,4.47,3.46
