Ano,Cresc Pib em %,Inflação em %,Desemprego em %
2003,1.14,14.71,11.17
2004,5.76,6.6,10.07
2005,3.2,6.87,10.55
2006,3.96,4.18,9.69
2007,6.07,3.64,9.28
2008,5.09,5.68,8.27
2009,-0.13,4.89,9.42
2010,7.53,5.04,8.42
2011,3.97,6.64,7.58
